id,source_path,sha256,curated_destination,public_destination,match_basis,confidence,code_usage,notes
cf-d4d49b6cf28d,Auszeichnungen/F.A.Z Institut - TOP Makler 2026/FAZ Ausgabe TOP Makler 2026 Immonaiton.jpg,d4d49b6cf28d5772a3c83e68ad40735cd919bf032353eb820403798ccb4b2b91,assets/media-library/trust/awards/faz-top-makler-2026/award-letter-2026.jpg,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-5ab46b57f80d,Auszeichnungen/F.A.Z Institut - TOP Makler 2026/TOP Makler 2026 Immonation .jpg,5ab46b57f80d8bda5749eaffe6b8dafc269a29a701e72b45161b8fabafb35752,assets/media-library/trust/awards/faz-top-makler-2026/generic-award-kit-mockup.jpg,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-5ca9653e9909,Auszeichnungen/F.A.Z Institut - TOP Makler 2026/Unbenanntes Dokument.docx,5ca9653e9909fdc4ee2c75f400425a4353aeae3f3ce73052f61ee956c0469bc3,docs/source-material/originals/content/auszeichnungen/f-a-z-institut-top-makler-2026/auszeichnungen-f-a-z-institut-top-makler-2026-unbenanntes-dokument.docx,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-e219ce30b831,Auszeichnungen/Immowelt/Immowelt Auszeichnung 2024.png,e219ce30b831efbee431f068534c758a64a9d6883920e4a4549337ac7ad10223,assets/media-library/trust/awards/immowelt/immowelt-auszeichnung-2024.png,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-7b1744da1495,Auszeichnungen/Immowelt/Immowelt Auszeichnung 2026.png,7b1744da1495ebf39bbb62393a54723b38d48ed2fe8cb4b9e5b232038f6efb7c,assets/media-library/trust/awards/immowelt/immowelt-auszeichnung-2026.png,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-e8ef405c4c6a,Auszeichnungen/Immowelt/Immowelt Partner Icon.png,e8ef405c4c6ad503167fb6c9f6548539956aa1571869c43c3442a15fa84fa7a8,assets/media-library/trust/awards/immowelt/immowelt-partner-icon.png,public/images/partners/immowelt-business-partner.webp,perceptual-fingerprint,verified-high,src/components/site/home/partners.tsx,Resized WebP derivative; perceptual hash differs only by conversion noise.
cf-b6e82e90f374,Bewertungsseite/Immonation_Text_Echte_Bewertungen.docx,b6e82e90f3745364115c13fae23f7023d7a4132c97be6d42e10942a1319f507a,docs/source-material/originals/content/bewertungsseite/bewertungsseite/bewertungsseite-immonation-text-echte-bewertungen.docx,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-d707188cacb2,Bodenrichtwert - Seite/Bodenrichtwert.docx,d707188cacb22f3d547b96e360821631e4424c48f0a9a1fc5b626c3fe20b5484,docs/source-material/originals/content/bodenrichtwert-seite/bodenrichtwert-seite/bodenrichtwert-seite-bodenrichtwert.docx,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-97d8363322d9,FAQ - Vorschläge/Unbenanntes Dokument.docx,97d8363322d9fd3184bb501932e983d668d509737a696e12e5b6770118e163b6,docs/source-material/originals/content/faq-vorschlaege/faq-vorschlaege/faq-vorschlaege-unbenanntes-dokument.docx,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-88d17d6376da,Immobilie verkaufen 4 Seiten je Art/Haus verkaufen_.docx,88d17d6376dad19c7e952f215d17104c886011589581bbfa9431c81175480bd8,docs/source-material/originals/content/immobilie-verkaufen-4-seiten-je-art/immobilie-verkaufen-4-seiten-je-art/immobilie-verkaufen-4-seiten-je-art-haus-verkaufen.docx,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-a5da424069c5,Immobilie verkaufen 4 Seiten je Art/Mehrfamilienhaus verkaufen.docx,a5da424069c50eaf1ab2473da415f6bf6cbfc03122813146e8661e1e08deb712,docs/source-material/originals/content/immobilie-verkaufen-4-seiten-je-art/immobilie-verkaufen-4-seiten-je-art/immobilie-verkaufen-4-seiten-je-art-mehrfamilienhaus-verkaufen.docx,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-e5d582a05dab,Immobilie verkaufen 4 Seiten je Art/Wohnung verkaufen_.docx,e5d582a05dab86d7c9d1de2523f298002134a41627b272768dafe8e1a46e98d3,docs/source-material/originals/content/immobilie-verkaufen-4-seiten-je-art/immobilie-verkaufen-4-seiten-je-art/immobilie-verkaufen-4-seiten-je-art-wohnung-verkaufen.docx,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-f9eff6317b28,Inhouse Ingenieur/nicht aktzeptierter Grundriss von Banken .jpg,f9eff6317b28ba6cb7866339d4f7ce27532b560d87a139bdbee0cc95c4f9a3a2,assets/media-library/services/inhouse-engineering/nicht-aktzeptierter-grundriss-von-banken.jpg,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-e3ef2578c063,KI Visualisierungen/Eigentumswohnung Visualisierung/ETW Panzerstraße Nürnberg/KI Video.mp4,e3ef2578c063ac44f7121e83b01ef8ab28b760c41e224108c6741b8146d83497,assets/media-library/marketing/visualizations/eigentumswohnung-visualisierung/etw-panzerstrasse-nuernberg/visualization-video.mp4,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-9a560ee3b9a1,KI Visualisierungen/Eigentumswohnung Visualisierung/ETW Vogelherdstraße Zirndorf/Imagevideo.mp4,9a560ee3b9a10b0dcc5766fea8e4aa265cbb1669395c485d2fffcdbc32e25cb2,assets/media-library/marketing/visualizations/eigentumswohnung-visualisierung/etw-vogelherdstrasse-zirndorf/visualization-video.mp4,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-a4383caa501c,KI Visualisierungen/Grundstück Visualisuerung/Schwabach Wolkersdorf/Bild - Visualisierung.png,a4383caa501cd4e2a3a3f7ff46fad7e89c5d855f11fce5347bbae16c13fc707f,assets/media-library/marketing/visualizations/grundstueck-visualisuerung/schwabach-wolkersdorf/visualization-image.png,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-3d967e9e9f99,KI Visualisierungen/Grundstück Visualisuerung/Schwabach Wolkersdorf/Video - Visualisierung.mp4,3d967e9e9f99b7086927e14f60b100944a16a28abba851b0c0f09104914d90df,assets/media-library/marketing/visualizations/grundstueck-visualisuerung/schwabach-wolkersdorf/visualization-video.mp4,public/immonation-presentation-video.mp4,exact-sha256,exact,src/components/site/home/premium-marketing-system.tsx; src/components/site/home/virtual-tour.tsx,Byte-identical public file.
cf-82f4ac44a5a7,KI Visualisierungen/Haus Visualisierung/RMH Wörnitzstraße/KI Video.mp4,82f4ac44a5a74f92094116ce01ab9567f39b638adfe157bbe57aecaf4f65798e,assets/media-library/marketing/visualizations/haus-visualisierung/rmh-woernitzstrasse/visualization-video.mp4,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-91e3ec7b9b33,Kostenlose Dokumente/Protokoll Hausübergabe - (VER)Kauf.pdf,91e3ec7b9b3393927ca8e4236b57d3fdd746b76b2be6937ba1eef37c57c92fc1,assets/media-library/downloads/handover-templates/house-handover-protocol.pdf,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-d95f8e8d2f7f,Kostenlose Dokumente/Protokoll Wohnungsübergabe - (VER)Kauf.pdf,d95f8e8d2f7fffb87764cf3dfb125573cabf86edd0adf0cdf1ba208d56442829,assets/media-library/downloads/handover-templates/apartment-handover-protocol.pdf,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-ea0de2009943,Logos Immonation/01bb9a16-f561-444e-9fa6-e3cddac28c0f.jpg,ea0de20099435a29f1e15f5214a6d33cbdc76a808b441b857877e52cceb8bd3a,assets/media-library/brand/immonation/immonation-logo-photo.jpg,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
cf-42f2145f8f4e,Logos Immonation/33 - Immonation Facelift Logo-Grey.png,42f2145f8f4eb48e92a611a1e89b6ff51c0f9864aaf64782512106e9151bfa8f,assets/media-library/brand/immonation/immonation-logo-grey.png,public/immonation-logo-white-text.png,visual-inspection-and-shared-geometry,verified-high,src/components/site/site-footer.tsx; src/components/site/site-header.tsx,Transparent web derivative with light text; same 1698x326 geometry and logo artwork.
cf-42f2145f8f4e,Logos Immonation/33 - Immonation Facelift Logo-Grey.png,42f2145f8f4eb48e92a611a1e89b6ff51c0f9864aaf64782512106e9151bfa8f,assets/media-library/brand/immonation/immonation-logo-grey.png,public/immonation-logo.png,visual-inspection-and-shared-geometry,verified-high,docs/design/immonation-design-system-v2.dc.html; docs/design/immonation-homepage-v2.dc.html; src/components/site/home/hero.tsx; src/components/site/site-header.tsx,Transparent web derivative with dark text; same 1698x326 geometry and logo artwork.
cf-efb622b2c1ad,Logos Immonation/33 - Immonation Facelift Logo.jpg,efb622b2c1ad691fb5507c9e84bc51c0aa352242b20abd11784c1f93071fbf96,assets/media-library/brand/immonation/immonation-logo-facelift.jpg,,no-public-derivative-identified,n/a,,Curated source may still be reusable; no verified public derivative is recorded.
